7400,4,1A,1B,1Y,2A,2B,2Y,GND,3Y,3B,3A,4Y,4B,4A,VCC
7404,6,1A,1Y,2A,2Y,3A,3Y,GND,4Y,4A,5Y,5A,6Y,6A,VCC
